Teammembers,Experience,Size,Complexity,Priority,Noftasks,PL,developmenttype,platform,externalhardware,relatedtechnologies,dbms,effort
3,24,3,2,1,2,C#,M,Android Studio,0,0,Unity,3
3,24,4,4,2,4,C#,M,Android Studio,0,0,Unity,8
3,24,1,1,3,4,C#,M,Android Studio,0,0,Unity,1
3,24,4,4,4,3,C#,M,Android Studio,0,0,Unity,5
3,24,3,3,5,4,C#,M,Unity,1,AR,Vuforia,3
3,24,1,1,6,4,C#,M,Unity,1,AR,Vuforia,1
3,24,1,1,7,4,C#,M,Unity,1,AR,Vuforia,1
3,6,3,2,1,3,Java,M,Android Studio,0,0,Firebase,3
3,6,3,2,2,2,Java,M,Android Studio,0,0,Firebase,2
3,6,3,3,3,5,Java,M,Android Studio,0,0,Firebase,3
3,6,4,4,4,5,Java,M,Android Studio,0,Location,Firebase,5
3,6,2,1,5,1,Java,M,Android Studio,0,0,Firebase,1
3,6,2,3,6,2,Java,M,Android Studio,0,Location,Firebase,2
3,6,3,3,7,2,Java,M,Android Studio,0,0,Firebase,3
3,6,3,2,8,3,Java,M,Android Studio,0,Location,Firebase,2
3,6,2,2,9,3,Java,M,Android Studio,0,0,Firebase,3
2,"[24,36]",2,2,1,2,C#,M,Android Studio,0,AR,none,2
2,"[24,36]",2,2,2,2,C#,M,Android Studio,0,AR,none,2
2,"[24,36]",3,3,3,2,C#,M,Android Studio,0,AR,Vuforia ,3
2,"[24,36]",4,4,4,2,C#,M,Android Studio,0,AR,none,5
2,"[24,36]",4,3,4,2,C#,M,Android Studio,0,AR,none,3
2,"[24,36]",4,3,6,2,C#,M,Android Studio,0,AR,none,3
2,"[24,36]",5,5,7,2,C#,M,Android Studio,0,AR,none,8
2,"[24,36]",3,3,8,2,C#,M,Android Studio,0,AR,none,3
2,"[24,36]",3,3,9,2,C#,M,Android Studio,0,AR,none,3
2,"[24,36]",3,2,10,2,C#,M,Android Studio,0,AR,none,3
2,1,4,3,1,2,Swift,M,IOS,0, Voice recognition,none,8
2,1,5,5,2,2,C#,M,IOS,0,AR,Placenote,21
2,1,5,4,3,2,C#,M,IOS,0,AR,Placenote,21
2,1,5,5,4,1,C#,M,IOS,0,Voice recognition,none,21
3,24,1,2,1,4,Java,M,Android Studio,0,0,Firebase,2
3,24,1,1,2,4,Java,M,Android Studio,0,0,Firebase,1
3,24,3,3,3,4,Java,M,Android Studio,0,0,Firebase,3
3,24,1,2,4,4,Java,M,Android Studio,0,0,Firebase,2
3,24,5,4,5,4,Java,M,Android Studio,1,Location,Firebase,5
3,24,3,3,6,4,Java,M,Android Studio,0,0,Firebase,3
3,24,1,1,7,4,Java,M,Android Studio,0,0,Firebase,1
3,24,2,2,8,4,Java,M,Android Studio,0,0,none,2
3,24,4,4,9,4,Java,M,Android Studio,0,Location,Firebase,5
3,24,1,1,10,4,Java,M,Android Studio,0,0,Firebase,1
2,"[24,36]",2,2,1,4,Java,M,Android Studio,1,AI,Firebase,2
2,"[24,36]",2,2,2,4,Java,M,Android Studio,0,AI,Firebase,2
2,"[24,36]",2,2,3,4,Java,M,Android Studio,0,AI,Firebase,2
2,"[24,36]",4,3,4,4,Java,M,Android Studio,1,AI,Firebase,5
2,"[24,36]",2,2,5,4,Java,M,Android Studio,0,AI,Firebase,2
